aR1,aR2,aR3,aR4,aR5,aR6,bR1,bR2,bR3,bR4,bR5,bR6,avgMCP,daily MW1,daily MW2,daily MW3,daily MW4,daily MW5,daily MW6
18.66666667,15,27.27272727,40,30,36,0.11878897,0.249,0.010909091,0.1000005,0.012500125,0.017,20.56596906,136.6102805,90.24855855,10.35456127,0.42759847,517.1665089,254.7207094
16.8,60,37.5,45,30,28.8,0.076364545,0.0600006,0.01802899,0.1125005,0.007,0.017,18.99414958,123.843164,112.1246915,7.339782231,0.431092161,654.9631789,226.9759848
15.27272727,15,100,32.72727273,40,36,0.023141102,0.249,0.096154038,0.067324675,0.007,0.05860493,22.72422579,111.4728796,83.67219578,6.870340661,0.331755332,486.6435932,384.9255795
18.66666667,15,37.5,40,10.90909091,18,0.042424924,0.006,0.012019359,0.1400006,0.009309091,0.03213289,18.38539076,101.4206996,85.33228599,7.180653981,0.360237991,591.127178,237.1996974
21,36,33.33333333,72,13.33333333,36,0.047727955,0.0360006,0.013333333,0.060000333,0.007,0.017,19.87196513,138.265135,115.0257211,9.559283182,0.553237176,541.8338194,286.8881469
56,30,50,72,15,12,0.023140992,0.013636909,0.01,0.128571857,0.007944444,0.019813953,26.99565065,98.02815514,89.04593918,24.67138841,1.026756798,557.2814088,236.7719054
21,22.5,25,60,15,24,0.047727955,0.1575012,0.112115385,0.107143286,0.007944444,0.046381395,20.70495638,108.3259603,88.89504695,8.085526732,0.408529792,665.0020451,253.666685
42,60,60,60,10.90909091,18,0.267273818,0.4200012,0.019230897,0.012,0.027709091,0.0255,23.14212744,98.16879671,100.4194138,8.02532485,0.580266993,502.690775,277.3361009
24,45,30,60,10,48,0.077922857,0.11250075,0.01,0.2100006,0.007,0.017,20.25186511,118.7978711,73.64023458,8.606889688,0.24076653,496.0330436,294.0120892
21,20,27.27272727,72,17.14285714,13.09090909,0.005,0.300002,0.041853147,0.060000333,0.007,0.077638478,20.66630886,113.1278898,86.76239249,7.104177749,0.33912697,497.1296086,302.3283729
14,15,100,72,40,14.4,0.054025974,0.006,0.03205141,0.1800005,0.066666917,0.107069767,22.37442297,94.6736911,100.601979,9.791870197,0.57308786,552.8690391,281.5191331
15.27272727,60,42.85714286,120,20,13.09090909,0.023141102,0.006,0.013736392,0.012,0.016666833,0.077638478,25.29223369,100.9812883,89.24703629,6.977194245,0.363433704,544.3940831,359.6865144
28,45,30,30,10.90909091,14.4,0.127273636,0.225001,0.073269231,0.0555,0.052242424,0.107069767,26.97092684,125.7962687,111.1914645,7.261474174,0.464701917,547.2124456,284.4618587
15.27272727,30,60,30,13.33333333,14.4,0.208266281,0.107143714,0.019230897,0.012,0.015174603,0.0204,18.54548795,93.72912214,91.08875107,6.486783875,0.563008251,600.6610162,346.5947335
42,30,27.27272727,32.72727273,10,13.09090909,0.038182364,0.150001,0.041853147,0.048681818,0.037666667,0.037841136,23.20288822,160.4785921,93.36608369,8.192127549,0.997129709,551.4273445,260.3337708
16.8,36,60,120,10.90909091,28.8,0.005,0.180001,0.01,0.0600003,0.009309091,0.017,17.40453481,123.0073552,95.13150235,8.20749927,0.360555983,528.6701745,247.7506822
28,36,27.27272727,60,13.33333333,24,0.38182,0.060000667,0.019160839,0.1500005,0.025688889,0.017,19.25549384,137.7144501,90.61237286,6.39337753,0.39867494,527.3173459,245.7698031
